SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME,DATASET_CREATED
22010,2544,21000001,2010-10-26,MIA @ BOS,L,43,10,21,0.476,3,6,0.5,8,12,0.667,0,4,4,3,1,2,8,1,31,1,0,2010-11,Regular Season,2544,LeBron James,2025-10-19 21:10:55
22010,2544,21000006,2010-10-27,MIA @ PHI,W,38,5,12,0.417,0,2,0.0,6,6,1.0,0,6,6,7,2,1,9,1,16,6,0,2010-11,Regular Season,2544,LeBron James,2025-10-19 21:10:55
22010,2544,21000025,2010-10-29,MIA vs. ORL,W,30,6,13,0.462,2,3,0.667,1,2,0.5,0,6,6,7,0,0,3,4,15,13,0,2010-11,Regular Season,2544,LeBron James,2025-10-19 21:10:55
22010,2544,21000040,2010-10-31,MIA @ NJN,W,29,5,12,0.417,0,4,0.0,10,12,0.833,0,7,7,7,2,0,5,3,20,18,0,2010-11,Regular Season,2544,LeBron James,2025-10-19 21:10:55
22010,2544,21000050,2010-11-02,MIA vs. MIN,W,32,7,12,0.583,0,2,0.0,6,8,0.75,0,0,0,12,2,1,1,0,20,32,0,2010-11,Regular Season,2544,LeBron James,2025-10-19 21:10:55
22010,2544,21000075,2010-11-05,MIA @ NOH,L,41,6,16,0.375,1,2,0.5,7,8,0.875,0,7,7,10,3,1,3,0,20,-6,0,2010-11,Regular Season,2544,LeBron James,2025-10-19 21:10:55
22010,2544,21000082,2010-11-06,MIA vs. NJN,W,34,9,16,0.563,2,4,0.5,3,5,0.6,0,3,3,9,2,0,4,1,23,11,0,2010-11,Regular Season,2544,LeBron James,2025-10-19 21:10:55
22010,2544,21000103,2010-11-09,MIA vs. UTA,L,47,5,18,0.278,0,1,0.0,10,11,0.909,2,9,11,14,1,3,2,3,20,4,0,2010-11,Regular Season,2544,LeBron James,2025-10-19 21:10:55
22010,2544,21000118,2010-11-11,MIA vs. BOS,L,44,9,21,0.429,0,5,0.0,17,22,0.773,0,10,10,9,3,0,4,3,35,0,0,2010-11,Regular Season,2544,LeBron James,2025-10-19 21:10:55
22010,2544,21000133,2010-11-13,MIA vs. TOR,W,39,8,21,0.381,0,1,0.0,7,11,0.636,1,1,2,11,2,0,3,0,23,11,0,2010-11,Regular Season,2544,LeBron James,2025-10-19 21:10:55
