SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22020,1626167,22000011,2020-12-23,IND vs. NYK,W,29,4,9,0.444,0,4,0.0,2,2,1.0,1,7,8,1,0,8,2,1,10,20,1,2020-21,Regular Season,1626167,Myles Turner
22020,1626167,22000026,2020-12-26,IND @ CHI,W,25,4,8,0.5,1,4,0.25,0,0,0.0,0,5,5,1,2,4,1,4,9,15,1,2020-21,Regular Season,1626167,Myles Turner
22020,1626167,22000037,2020-12-27,IND vs. BOS,W,29,3,10,0.3,0,4,0.0,4,4,1.0,3,4,7,0,2,5,1,2,10,3,1,2020-21,Regular Season,1626167,Myles Turner
22020,1626167,22000048,2020-12-29,IND vs. BOS,L,32,5,9,0.556,3,6,0.5,3,4,0.75,0,6,6,0,2,3,2,3,16,6,1,2020-21,Regular Season,1626167,Myles Turner
22020,1626167,22000062,2020-12-31,IND vs. CLE,W,33,5,9,0.556,0,4,0.0,4,4,1.0,2,5,7,2,4,1,0,6,14,8,1,2020-21,Regular Season,1626167,Myles Turner
22020,1626167,22000080,2021-01-02,IND vs. NYK,L,32,7,15,0.467,3,9,0.333,0,0,0.0,0,4,4,0,0,1,2,3,17,-10,1,2020-21,Regular Season,1626167,Myles Turner
22020,1626167,22000100,2021-01-04,IND @ NOP,W,23,7,11,0.636,2,3,0.667,1,2,0.5,0,2,2,0,1,3,1,6,17,-2,1,2020-21,Regular Season,1626167,Myles Turner
22020,1626167,22000107,2021-01-06,IND vs. HOU,W,32,1,6,0.167,0,2,0.0,0,0,0.0,1,4,5,2,2,8,0,4,2,-3,1,2020-21,Regular Season,1626167,Myles Turner
22020,1626167,22000135,2021-01-09,IND vs. PHX,L,36,6,8,0.75,2,3,0.667,1,2,0.5,4,6,10,3,0,4,0,3,15,-6,1,2020-21,Regular Season,1626167,Myles Turner
22020,1626167,22000156,2021-01-11,IND @ SAC,L,30,2,7,0.286,1,4,0.25,1,2,0.5,3,3,6,4,2,3,3,4,6,-8,1,2020-21,Regular Season,1626167,Myles Turner
22020,1626167,22000163,2021-01-12,IND @ GSW,W,42,7,11,0.636,3,5,0.6,5,8,0.625,2,10,12,0,2,6,1,3,22,4,1,2020-21,Regular Season,1626167,Myles Turner
