SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22018,2544,0021800016,2018-10-18,LAL @ POR,L,37,9,16,0.563,0,4,0.0,8,9,0.889,2,10,12,6,1,0,6,3,26,-4,1,2018-19,Regular Season,2544,LeBron James
22018,2544,0021800035,2018-10-20,LAL vs. HOU,L,39,9,22,0.409,1,7,0.143,5,7,0.714,0,5,5,5,2,1,1,0,24,-13,1,2018-19,Regular Season,2544,LeBron James
22018,2544,0021800048,2018-10-22,LAL vs. SAS,L,43,11,25,0.44,2,8,0.25,8,11,0.727,2,6,8,14,1,1,5,2,32,-5,1,2018-19,Regular Season,2544,LeBron James
22018,2544,0021800060,2018-10-24,LAL @ PHX,W,28,7,16,0.438,1,5,0.2,4,4,1.0,0,7,7,10,3,0,0,1,19,19,1,2018-19,Regular Season,2544,LeBron James
22018,2544,0021800066,2018-10-25,LAL vs. DEN,W,35,10,17,0.588,1,5,0.2,7,10,0.7,0,11,11,11,3,0,2,3,28,13,1,2018-19,Regular Season,2544,LeBron James
22018,2544,0021800082,2018-10-27,LAL @ SAS,L,34,13,21,0.619,2,6,0.333,7,8,0.875,1,10,11,4,2,0,4,3,35,-1,1,2018-19,Regular Season,2544,LeBron James
22018,2544,0021800093,2018-10-29,LAL @ MIN,L,36,11,23,0.478,3,6,0.5,4,5,0.8,3,7,10,8,2,2,5,2,29,-6,1,2018-19,Regular Season,2544,LeBron James
22018,2544,0021800109,2018-10-31,LAL vs. DAL,W,39,11,19,0.579,2,3,0.667,5,7,0.714,0,5,5,6,3,0,3,3,29,5,1,2018-19,Regular Season,2544,LeBron James
22018,2544,0021800132,2018-11-03,LAL @ POR,W,31,9,20,0.45,1,5,0.2,9,11,0.818,0,5,5,7,0,2,3,1,28,-22,1,2018-19,Regular Season,2544,LeBron James
22018,2544,0021800139,2018-11-04,LAL vs. TOR,L,28,6,12,0.5,2,3,0.667,4,7,0.571,0,2,2,6,0,1,3,3,18,-16,1,2018-19,Regular Season,2544,LeBron James
22018,2544,0021800162,2018-11-07,LAL vs. MIN,W,39,10,21,0.476,3,9,0.333,1,2,0.5,1,10,11,9,0,2,3,1,24,3,1,2018-19,Regular Season,2544,LeBron James
22018,2544,0021800183,2018-11-10,LAL @ SAC,W,31,10,18,0.556,3,6,0.5,2,3,0.667,1,6,7,2,1,0,3,2,25,2,1,2018-19,Regular Season,2544,LeBron James
22018,2544,0021800189,2018-11-11,LAL vs. ATL,W,34,10,20,0.5,3,9,0.333,3,7,0.429,3,4,7,4,2,0,4,1,26,22,1,2018-19,Regular Season,2544,LeBron James
22018,2544,0021800212,2018-11-14,LAL vs. POR,W,36,13,19,0.684,5,6,0.833,13,15,0.867,2,8,10,9,1,3,4,0,44,4,1,2018-19,Regular Season,2544,LeBron James
